"transcript_id","lead_id","trade","date","dq_reason_freitext","transcript_excerpt"
"T001","L10142","PV","2025-12-08","Nicht kaufbereit","SDR: Wie sieht denn aktuell Ihre Software-Situation aus? – Kunde: Also wir sind gerade noch dabei zu schauen, was es so gibt am Markt. Wir haben jetzt erst angefangen mit PV-Aufträgen und wollten uns einfach mal informieren, was an Tools verfügbar ist. Konkrete Pläne haben wir noch nicht."
"T002","L10198","PV","2025-12-15","Will nur vergleichen","Kunde: Ich wollte ehrlich gesagt nur ein paar Angebote einholen, um Preise zu vergleichen. Wir haben aktuell noch nichts und schauen mal in Ruhe. Macht Sinn vielleicht 2026 mal konkret zu werden, aber jetzt eher noch Orientierungsphase."
"T003","L10245","PV","2026-01-04","Kein Bedarf jetzt","Kunde: Wir haben gerade unsere Excel-Vorlagen so umgebaut, dass es für uns aktuell läuft. PV machen wir auch erst seit einem halben Jahr nebenher, das ist noch nicht groß genug, dass wir extra Software brauchen. Vielleicht in einem Jahr nochmal."
"T004","L10311","PV","2026-01-22","Nur Info","Kunde: Ich hatte mich nur eingetragen weil in der Google-Anzeige das Thema Förderungen für PV-Software interessant klang. Aber wir nutzen aktuell unsere normale Handwerker-Software auch für PV mit, das passt erstmal."
"T005","L10367","PV","2026-02-03","Andere Priorität","Kunde: Wir sind gerade noch dabei das PV-Geschäft überhaupt aufzubauen, der Vertrieb steht im Vordergrund. Wenn wir dann mehr Aufträge haben, schauen wir nach Software. Aber jetzt wäre das ein bisschen Pferd von hinten aufzäumen."
"T006","L10402","PV","2026-02-14","Nicht passend","Kunde: Ehrlich gesagt habe ich gar nicht so genau verstanden was Ihr Produkt im PV-Bereich anders macht. Ich dachte das ist eher für SHK gedacht. Wir sind reiner PV-Installateur, brauchen wir das überhaupt? SDR: Also grundsätzlich – Kunde: Ja, schicken Sie mir vielleicht mal Infos, ich schaue es mir an wenn ich Zeit habe."
"T007","L10455","PV","2026-03-02","Recherche","Kunde: Wir sind in der Recherche-Phase. Letztes Quartal haben wir einen Termin mit PlanCraft gehabt, mit Ihnen jetzt, und wir wollten auch noch mit zwei anderen sprechen. Entscheiden tun wir dann frühestens Q3."
"T008","L10501","PV","2026-03-18","Falsche Erwartung","Kunde: Ich dachte ehrlich gesagt da kommt eher so ein PV-spezifisches Tool für Angebotsplanung. Also so was wie Auslegungssoftware. Aber Sie machen ja eher die ganze Verwaltung. Das brauchen wir aktuell nicht, wir haben für die Verwaltung was anderes."
"T009","L10089","SHK","2025-12-02","Wettbewerber","Kunde: Wir nutzen seit drei Jahren PlanCraft. Funktioniert für uns, da müsste schon einiges sprechen für einen Wechsel. Vor allem die Stundenerfassung dort hat sich eingespielt bei den Monteuren, das umzustellen wäre Stress."
"T010","L10134","SHK","2025-12-19","Preis","Kunde: Also die monatlichen Kosten sind für uns ehrlich gesagt heftig. Wir haben 8 Monteure und wenn ich da pro Nutzer rechne komme ich auf eine Summe, die mich erstmal schlucken lässt. Was bietet Ihre Konkurrenz an?"
"T011","L10221","Elektro","2026-01-13","Wettbewerber","Kunde: Wir hatten gerade vor zwei Monaten ein anderes System eingeführt – streit.net. Da hängt jetzt auch die Buchhaltung dran. Ein Wechsel kommt frühestens in 2 Jahren wieder in Frage."
"T012","L10289","SHK","2026-02-07","Preis","Kunde: Wir haben uns ja PlanCraft auch angeguckt und das ist deutlich günstiger im Einstieg. Was rechtfertigt bei Ihnen den Aufpreis? – SDR: Also was unser Pricing angeht – Kunde: Schicken Sie mir mal ein konkretes Angebot, dann vergleiche ich."
"T013","L10334","Elektro","2026-02-25","Funktionslücke","Kunde: Für uns ist die VDE-Prüfprotokoll-Integration kritisch. Wenn das nicht direkt aus der Software heraus geht, ist es ein Showstopper. Bei einem Wettbewerber war das integriert."
"T014","L10076","Maler","2025-11-22","Zu klein","Kunde: Also wir sind ehrlich gesagt nur zu zweit. Mein Mann macht die Aufträge, ich mache die Abrechnung mit Excel und das funktioniert. Für so eine Software haben wir gar nicht das Volumen, das lohnt sich für uns nicht."
"T015","L10165","SHK","2025-12-30","Einzelunternehmer","Kunde: Ich bin Einzelunternehmer, mache vielleicht 3-4 größere Aufträge im Monat. Eine Software für so wenig Aufwand wäre überdimensioniert. Bleibe bei meinen Excel-Vorlagen."
"T016","L10298","PV","2026-02-11","Zu klein","Kunde: Wir sind zu zweit – ich und mein Geselle. Wir machen aktuell vielleicht 2-3 PV-Anlagen pro Monat. Da brauche ich keine Verwaltungssoftware, das mache ich abends am Küchentisch in einer halben Stunde."
"T017","L10412","Dachdecker","2026-03-09","Einzelunternehmer","Kunde: Aktuell bin ich allein als Dachdecker unterwegs, will dieses Jahr vielleicht einen Lehrling einstellen. Aber für Software bin ich noch zu klein. Rufen Sie mich vielleicht in einem Jahr nochmal an."
"T018","L10257","SHK","2026-01-30","Nicht erreicht","SDR: Hallo Herr X, ich rufe an wegen Ihrer Anfrage zur HERO Software – Kunde: Welche Anfrage? Ich habe nichts angefragt. – SDR: Sie hatten sich am 15.01. eine Demo angefragt – Kunde: Ach, das war die Sekretärin, die wollte für mich was nachschauen. Aktuell aber kein Bedarf, danke."
"T019","L10378","Elektro","2026-02-20","Falsche Person","Kunde: Ich bin nur der Lehrling, der das Büro mitbetreut. Die Entscheidung treffen unser Chef und seine Frau, aber die sind gerade nicht da. – SDR: Wann könnte ich sie erreichen? – Kunde: Schwer zu sagen, vielleicht versuchen Sie es nächste Woche mal."
"T020","L10489","PV","2026-03-22","Bauchgefühl","Kunde: Ich weiß nicht so genau, ich habe da kein gutes Gefühl bei. Wir sind Familienbetrieb, das machen wir alles persönlich. Eine Software wäre für uns so ein Bruch in der Arbeitsweise. Vielleicht später mal."
